ID,ESTABELECI,ENDERECO,LAT,LONG,BAIRRO
232,CASA AZUL-CAPS ad PIRITUBA,"LINO PINTO DOS SANTOS,R,203",-23495917,-46726732,JD DA FELICIDADE
233,CENTRO-CAPS ad,"FREDERICO ALVARENGA,R,259,5A",-23550525,-46627859,PQ. D. PEDRO II
234,COMPLEXO PRATES - CAPS AD,"R. PRATES, 1101",-23523893,-46633950,BOM RETIRO
235,ERMELINO MATARAZZO-CAPS ad,"JO+O ANTONIO ANDRADE,R, 804",-23485996,-46479882,JD MATARAZZO
236,FREGUESIA/BRASILANDIA - CAPS ad,"OLINTO FRAGA MOREIRA,R,275",-23469045,-46692037,BRASIL-NDIA
237,GUAIANASES - CAPS ad,"FRANCISCO PINHEIRO,PROF,R,139",-23543890,-46412961,GUAIANAZES
238,ITAQUERA - CAPS ad,"CORRE CORRE,R,30",-23525834,-46459048,ITAQUERA
239,JABAQUARA-CAPS ad,"JAPURA,DE,BR,PCA,01",-23637082,-46639499,V  GUARANI
240,JD  ANGELA-CAPS ad,"FLORIANO ALVARO, CORONEL,R,500",-23714094,-46778881,PQ DO LAGO
241,JD  NELIA - CAPS ad,"VALENTE DE NOVAIS,R,51",-23500976,-46396925,JD TUA
242,MOOCA - CAPS ad,"JAIBARAS,R,251",-23548479,-46596105,MOOCA
243,PENHA - CAPS ad,"NOSSA SENHORA DA PENHA,PCA,55",-23526200,-46550021,PENHA
244,PINHEIROS - CAPS ad,"NICOLAU GAGLIARDI,R,439",-23560595,-46700095,PINHEIROS
245,PROGRAMA DE ORIENTACAO ATEND DEPENDENTES - PROAD CAPS,"OTONIS,DOS,R,887",-23598484,-46644829,VILA MARIANA
246,QUIXOTE - CAPS ad,"FRANCISCO DE CASTRO,PROF,R,92",-23595968,-46640242,V CLEMENTINO
247,S+O MIGUEL - CAPS ad,"TAIUVINHA,R,20",-23498231,-46453483,V JACUI
248,SACOMA - CAPS ad,"GRITO,DO,R,635",-23598200,-46598275,IPIRANGA
249,SANTANA - CAPS ad,"SARAIVA,CONS,R,411",-23498445,-46622463,SANTANA
250,SANTO AMARO-CAPS ad,"BELA VISTA,R,269",-23633610,-46690748,STO  AMARO
251,SAO MATEUS-CAPS ad,"JOAQUIM GOUVEIA FRANCO,R,150",-23598994,-46486194,SAO MATEUS
252,SAPOPEMBA - CAPS ad,"DAS ESTERLINAS,R,124",-23595440,-46516062,JD DOS BANC-RIOS
253,TABACO/ALCOOL/OUT DROGAS - CAPS,"PRATES,R,165",-23531887,-46636637,BOM RETIRO
254,VILA ARAPUA - CAPS ad IPIRANGA,"COLOMBO FLORENCE,R,241",-23633112,-46588591,V ARAPUA
255,VILA MADALENA -CAPS ad,"HEITOR PENTEADO,R,1448",-23544958,-46691373,SUMARE
256,VILA MARIANA-CAPS ad,"CECI,AV,2101",-23627080,-46646378,PLANALTO PAULISTA
257,CAPS INFANTIL II CAMPO LIMPO,"AROLDO DE AZEVEDO, R., 38",-23632870,-46775798,CAMPO LIMPO
258,CASA SER-MARIA AUXILIADORA LARA BARCELOS,"GUILHERME DE ABREU SOBRE,DR,R,485",-23568023,-46409444,CIDADE TIRADENTES
259,CENTRO DE CONTROLE DE ZOONOSES-SANTANA,"EUL-LIA,STA,R,86",-23511365,-46626755,SANTANA
260,CAMPO LIMPO - CECCO,"CARLOS LACERDA,AV,678",-23636919,-46779268,CAMPO LIMPO
261,CECCO JARAGUA,"ESTRADA DE TAIPAS - PQ PINHEIRINHO D'AGUA, 2100",-23434214,-46727794,JARAGU´?¢
262,CHICO MENDES-CECCO PQ ECOLOGICO,"CEMBIRA,R,1201",-23506374,-46428540,V CURUCA
263,EDUARDO LEITE BACURI-CECCO,"SUMARE,AV,67",-23529927,-46676564,PERDIZES
264,ERMELINO MATARAZZO-CECCO,"RODRIGO DE BRUNN,AL,36",-23499639,-46471220,ERM MATARAZZO
265,FREGUESIA DO O-CECCO,"ANTONIO GENELE,R,30",-23476225,-46703023,JD. MONTE ALEGRE
266,INTERLAGOS-CECCO,"ROBERT KENEDY,AV.,5300",-23712608,-46709333,INTERLAGOS
267,JACANA/TREMEMBE-CECCO,"PAULO LINCOLN DO VALLE PONTIN,R,241",-23462775,-46584854,JD GUAPIRA
268,"MANUEL DA NOBREGA,PE-CECCO","NICOLAU DA FONSECA,IRMAO,R,33",-23548787,-46484515,COHAB I
269,MOOCA-CECCO,"TAQUARI,R,549",-23550412,-46597303,MOOCA
270,PERUS- CECCO,"FIORELLI PECCICACO,R,510",-23404123,-46739525,PERUS
271,PQ GUARAPIRANGA-CECCO,"GUARAPIRANGA,DE,ESTR,575",-23665967,-46717141,PQ. ALVES DE LIMA
272,PQ IBIRAPUERA-CECCO,"IV CENTENARIO, AV,PORT+O 5,S/N",-23590708,-46654834,IBIRAPUERA
273,PQ PREVIDENCIA-CECCO,"PEDRO PECCININI,R,88",-23578971,-46725965,JD. ADEMAR DE BARROS
274,PQ RAUL SEIXAS-CECCO,"MURMURIOS DA TARDE,R,211",-23552507,-46442895,ITAQUERA
275,PQ STA AMELIA-CECCO,"TIMOTEO CORREIA GOES,R,100",-23501486,-46374704,PQ. SANTA AMELIA
276,S DOMINGOS-CECCO,"PEDRO SERNAGIOTTI,R,125",-23501133,-46735804,PQ. SAO DOMINGOS
277,SANTO AMARO-CECCO,"JOSE MARIA,PE,R, 555",-23654420,-46712790,STO  AMARO
278,SANTO DIAS-CECCO,"JASMIM DA BEIRADA,TRAV,71",-23665295,-46774481,COHAB ADVENTISTA
279,V GUARANI-CECCO,"LUSSANVIRA,R,178",-23639917,-46637343,V  GUARANI
280,V PRUDENTE-CECCO,"FRANCISCO FALCONI,R,100",-23583419,-46568666,JD. AVELINO
281,VILA MARIA/VILA GUILHERME - CECCO,"SAO QUIRINO,R,905",-23513960,-46597437,V GUILHERME
282,SAO MATEUS - CENTRO DIAGNOSTICO IMAGEM,"MATEO BEI,R,838",-23590086,-46489371,SAO MATEUS
283,UNIDADE DIAGNOSTICO POR IMAGEM - SE,"FREDERICO ALVARENGA,R,259",-23550525,-46627859,PQ DOM PEDRO
284,"ALFREDO VIEGAS,PROF-CEO","HUMAITA,R,520",-23556468,-46641553,BELA VISTA
285,ARICANDUVA-CEO,"JACI BARBOSA,DR,R,280",-23552513,-46524187,CARRAOZINHO
286,BUTANTA - CEO,"JOAO GUERRA,R,247",-23586132,-46731959,JD. PERI PERI
287,CAMPO LIMPO - CEO,"FRANCISCO SOARES,R,81",-23637524,-46749380,JD. INGA
288,CASA VERDE - CEO,"MOURAO VIEIRA,R,11",-23508739,-46663551,CASA VERDE
289,CEO III ALTO DA BOA VISTA,"MINISTRO ROBERTO CARDOSO ALVES, R, 386",-23649570,-46698555,ALTO DA BOA VISTA
290,CIDADE TIRADENTES - CEO,"FERNANDO GANGA,R,14",-23600739,-46398526,CIDADE TIRADENTES
291,ERMELINO MATARAZZO - CEO,"JOSE GOES NOGUEIRA,R,70",-23494467,-46473835,V  PARANAGUA
292,FREGUESIA - CEO,"RUI DE MORAIS APOCALIPSE,R,2",-23472919,-46684432,BRASILANDIA
293,GUAIANASES - CEO,"MACABU,R,35",-23557468,-46412487,JD. SAO CARLOS
294,IPIRANGA-CEO,"XAVIER DE ALMEIDA,R,210",-23587114,-46608202,IPIRANGA
295,ITAQUERA - CEO,"ANDREAS AMON,R,150",-23553169,-46434612,ITAQUERA
296,JABAQUARA - CEO,"ARMANDO DE ARRUDA PEREIRA,AV,ENG.2944",-23651657,-46637560,V DO ENCONTRO
297,JOAQUIM ANTONIO EIRADO-CEO,"BRAS LEME,AV,2945",-23502852,-46631123,SANTANA
298,LAPA-CEO,"COTOXO,R,1000",-23534717,-46686772,POMPEIA
299,M'BOI MIRIM - CEO,"MANUEL BORDALO PINHEIRO,R,100",-23656634,-46755453,PQ SANTO ANTONIO
300,"MILTON ALDRED,DR-CEO  SOCORRO","SAO CAETANO DO SUL,R,381",-23755005,-46685595,GRAJAU
301,MOOCA-CEO II,"FAROL PAULISTANO,R,410",-23570175,-46575142,JD ITALIA
302,PARELHEIROS - CEO YVETTE VIEGAS,"ESTRADA ENGENHEIRO MARSILAC,1047",-23836970,-46731417,PARELHEIROS
303,PENHA-CEO FERREIRA DO VALLE,"EDGAR GARCIA VIEIRA,R,DR,130",-23534580,-46532366,VILA MATILDE
304,PIRITUBA-CEO,"MARCELA ALVES DE CASSIA,R,175",-23488618,-46758672,JD JARAGUA
305,SAO FRANCISCO - CEO,"BANDEIRA DO ARACAMBI,S/N",-23630863,-46457302,JD. SAO FRANCISCO
306,TITO LOPES - CEO,"ANTONIO GAMA DE CERQUEIRA, PROF,R,347",-23496401,-46440474,V AMERICANA
307,UMBERTO NASTARI-CEO PEDREIRA,"ALVARENGA,ESTR,257",-23697063,-46670222,
308,VILA MARIA/ VILA GUILHERME - CEO,"JOAO VENTURA BATISTA,R,615",-23515717,-46605055,V GUILHERME
309,VILA MARIANA-CEO,"CECI,AV,2235",-23628113,-46645846,PLANALTO PAULISTA
310,VILA PRUDENTE-CEO,"JOAO LOPES DE LIMA,R,1151",-23611267,-46492813,JD SAPOPEMBA
311,VISCONDE DE ITAUNA -CEO,"LINO COUTINHO,R,141",-23584050,-46602550,IPIRANGA
312,INSTITUTO DE REABILITACAO LUCY MONTORO,"JANDIATUBA,R,200",-23628795,-46735219,VILA ANDRADE
313,JD UMARIZAL-C REABIL  FUNDACAO FAC MED USP,"GUARAMEMBE,R,589",-23622646,-46750982,JD UMARIZAL
314,CREN VILA JACUI,"UM, R., 32",-23482730,-46466160,JD. MATARAZZO
315,CREN VILA MARIANA,"DAS AZALEIAS, R., 244",-23607482,-46639808,MIRAND´?¢POLIS
316,PLANTAS MEDICINAIS - CR,"COSME DEODATO TADEU,PROF,R,136",-23543325,-46408524,GUAIANAZES
317,ALEXANDRE VRANJAC (ESCOLA BARRA FUNDA) - CS,"ABRAHAO RIBEIRO,283",-23521099,-46658680,BARRA FUNDA
318,CS ESCOLA BARRA FUNDA - ALEXANDRE VRANJAC,"ABRAHAO RIBEIRO,283",-23521099,-46658680,BARRA FUNDA
319,ESCOLA DR ANANIAS PEREIRA PORTO - CS UNISA,"CASSIO DE CAMPOS NOGUEIRA, R, 340",-23728292,-46711670,JD IMBUIAS
320,GERALDO H P DE SOUZA-CS II,"ARNALDO,DR,AV,925",-23552949,-46673086,PACAEMBU
321,"SAMUEL BANSLEY PESSOA,DR,EXP BUTANTA-CS","VITAL BRASIL,AV,1490",-23568005,-46716265,BUTANTA
322,"VICTOR MELLO,DR-CS I (PINHEIROS)","FERREIRA DE ARAUJO,R,789",-23564196,-46697386,PINHEIROS
323,CIDADE TIRADENTES-CTA DST/AIDS,"LUIS BORDESE,R,96",-23602665,-46404329,CIDADE TIRADENTES
324,CTA DST/AIDS - MOOCA,"TAQUARI,R,549",-23550412,-46597303,MOOCA
325,GUAIANASES - CTA DST/AIDS,"CENTRALINA,R,168",-23543696,-46415883,GUAIANASES
326,HENFIL-CTA  DST/AIDS,"LIBERO BADARO,R,144",-23547830,-46636628,CENTRO
327,PIRITUBA-CTA DST/AIDS,"FELIPE PINEL,AV,DR,12",-23485737,-46727344,PIRITUBA
328,PQ IPE- CTA DST/AIDS,"FRANCISCO ANTUNES MEIRA,R,255",-23639704,-46760654,PQ IPE
329,S MIGUEL- CTA DST/AIDS,"MANUEL OSORIO,ENG,AV,1517",-23495572,-46437232,SAO MIGUEL PAULISTA
330,SANTO AMARO-CTA DST/AIDS,"GABRIEL NETUZE PERES,PROM,R,159",-23651755,-46703310,SANTO AMARO
331,SAO MATEUS - CTA DST/AIDS,"MATEO BEI,R,838",-23590088,-46489373,SAO MATEUS
332,SERGIO AROUCA-CTA DST/AIDS,"VALENTE DE NOVAIS,R,9",-23500937,-46396836,ITAIM PAULISTA
333,ALEXANDRE KALIL - CER II/AE,"CECI,AV,2235",-23628113,-46645846,PLANALTO PAULISTA
334,"ARMANDO DE AGUIAR PUPO,DR - CER","NOVA CANTAREIRA,AV,1476",-23482098,-46612505,TUCURUVI
335,CER II JARDIM CAMPOS,"CRESCENTE, R., 97",-23511853,-46408536,
336,CER II JARDIM CAMPOS,"SETE ESTRELAS, R., 486",-23511806,-46406454,JD CAMPOS
337,CER II PENHA,"NOSSA SENHORA DA PENHA, PCA, 56",-23526480,-46549650,PENHA
338,CER II TATUAPE - DR. SALOMAO CROCHIK,"PRA´?¢A MANOEL BORGES DE SOUZA NUNESXR.BOM SUCESSO,650",-23545780,-46575450,TATUAPE
339,CER II TIETE,"ENGENHO NOVO, AV., 82",-23598225,-46494531,JARDIM TIETE
340,CER II VILA PRUDENTE,"PCA CENTENARIO DE VILA PRUDENTE, 108",-23581870,-46582230,VILA PRUDENTE
341,CER III SAPOPEMBA,"JOAO LOPES DE LIMA, R., 1151",-23612127,-46492463,JD SAPOPEMBA
342,CER IV FLAVIO GIANNOTTI,"XAVIER DE ALMEIDA, R., 210",-23587216,-46608259,IPIRANGA
343,CER-IV TITO LOPES,"PROFESSOR ANTONIO GAMA DE CERQUEIRA, R., 347",-23496232,-46440349,SAO MIGUEL
344,CESAR ANTUNES DA ROCHA-CER,"CORREGO AZUL,R,433",-23695249,-46659460,PEDREIRA
345,JD CAMARGO NOVO-CER II,"BOIGUACU,R,51",-23503328,-46385059,JD. CAMARGO NOVO
346,JD MARCELO -  CER III,"GASTAO RAUL DE FOURTON BOUSQUET,R,377",-23655166,-46770652,JD. MARCELO
347,JD S CARLOS - CER,"MACABU,R,35",-23557468,-46412487,JD. SAO CARLOS
348,M' BOI MIRIM - CER IV,"ALEXANDRINA M DE LIMA,AV,S/N",-23691954,-46761374,JARDIM -NGELA
349,SANTO AMARO - CER III,"VICENTE RAO,R,429",-23628839,-46683914,JD PETROPOLIS
350,CENTRO REF  DST/AIDS FREG DO O-N SRA. DO O,"ITABERABA,AV,1377",-23489709,-46694171,FREGUESIA DO O
351,PENHA-CENTRO DE REFERENCIA E DST/AIDS,"NOSSA SENHORA DA PENHA,PCA, 55",-23526200,-46550021,PENHA DE FRANCA
352,SANTO AMARO-CR DST/AIDS,"CARLOS GOMES,R,695",-23656083,-46700494,STO  AMARO
353,ANDRE GRABOIS-CRST,"FREDERICO ALVARENGA,R,259,5A",-23550525,-46627859,PQ. D. PEDRO II
354,CENTRO REFERENCIA SAUDE TRABALHADOR-CEREST,"CRISPINIANO,CONS,20",-23546303,-46639767,CENTRO
355,FREGUESIA DO O-CRST,"ITABERABA,AV,1210",-23491071,-46694334,FREGUESIA DO O
356,LAPA-CRST,"COTOXO,R,664",-23532091,-46685171,V  POMPEIA
357,LESTE - CRST,"ANTONIO GAMA DE CERQUEIRA,PROF,R,347",-23496401,-46440474,VILA AMERICANA
358,MOOCA-CRST,"CIRO PONTES,PCA,S/N",-23551769,-46598449,MOOCA
359,SANTO AMARO-CRST,"ADOLFO PINHEIRO,AV,581",-23647690,-46702149,SANTO AMARO
360,CENTRO DE DERMATOLOGIA SANITARIA,"LEOPOLDO MIGUEZ,R,327",-23556159,-46625264,VARZEA DO GLICERIO
361,CENTRO DE HEMATOLOGIA DE S PAULO-CE,"LUIS ANTONIO,AV,BRIG,2533",-23569042,-46650104,JARDIM PAULISTA
362,CLINICA DE NEFROLOGIA CMIN,"FRANCISCO MATARAZZO,AV, 989",-23527014,-46671807,AGUA BRANCA
363,CLINICA LESTE-CLINICA NEFROLOGICA,"AUGUSTO CARLOS BAUMANN,R,623",-23532293,-46448426,ITAQUERA
364,CLINICA NEFROLOGIA STA RITA-CLINEFRO,"CUBATAO,R,1043",-23580300,-46640709,V MARIANA
365,FUNDACAO ONCOCENTRO DE SAO PAULO-CE,"OSCAR FREIRE,R,2396",-23551303,-46677191,PINHEIROS
366,SAMARIM ASSIST NEFROLOGICA,"BROTERO,CONS,1486",-23538846,-46661309,STA CECILIA
367,SANATORINHOS-CLINICA ESPECIALIZADA (CE),"PATRIOTAS,DOS,R,598",-23583218,-46605856,IPIRANGA
368,SAO MIGUEL-CLINICA  DE NEFROLOGIA,"ESTANISLAU DE MIRANDA,R,18",-23498158,-46451596,JD ALTO PEDROSO
369,SECONCI-CE,"FRANCISCO MATARAZZO,AV,74",-23530761,-46663768,BARRA FUNDA
370,SEDIT SERVICOS MEDICOS UNIDD DE DIALISE,"CHAMANTA,R,1351",-23580562,-46589796,PRQ DA MOOCA
371,ZONA LESTE - CENTRO DE ANALISES CLINICAS,"JEQUITINHONHA,R,444",-23531102,-46598841,BELEM
372,ADYR AMARAL GURGEL-CL´?¢NICA ODONTOL´?¢GICA,"SAO SAMUEL,R,70",-23593841,-46633577,VILA MARIANA
373,FACULDADE DE ODONTOLOGIA  USP,"LINEU PRESTES,PROF,AV,2227",-23566803,-46737750,BUTANTA
374,FUNDACAO PRO SANGUE - HEMOCENTRO DE SAO PAULO,"ENEAS DE CARVALHO AGUIAR,155, 1´?¢ A",-23556522,-46669874,CERQUEIRA CESAR
375,BRASILANDIA/FO - HORA CERTA,"RUI MORAES DO APOCALIPSE,R,2",-23472919,-46684432,BRASIL-NDIA
376,HOSPITAL -DIA DA REDE HORA CERTA - ITAIM PAULISTA,"MARECHAL TITO,AV,6035",-23491742,-46388369,ITAIM PAULISTA
377,HOSPITAL-DIA DA REDE HORA CERTA - M'BOI MIRIM I,"PHILIPE DE VITRY,R,280",-23666232,-46736069,JD STA JOSEFINA
378,HOSPITAL-DIA DA REDE HORA CERTA - M'BOI MIRIM II,"FUNCIONARIOS PUBLICOS, DOS, AV.,379",-23734802,-46780777,JD VERA CRUZ
379,HOSPITAL-DIA DA REDE HORA CERTA - PENHA,"NOSSA SENHORA DA PENHA,PCA, 55",-23526200,-46550021,PENHA DE FRANCA
380,LAPA SOROCABANA - HORA CERTA,"CATAO,R,380",-23523667,-46700788,V ROMANA
381,UNIDADE MOVEL - PROJETO CIES - LESTE,"PIRES DO RIO, AV., 199",-23497720,-46441760,S´?¢O MIGUEL
382,UNIDADE MOVEL - PROJETO CIES - SUL,"CASSIANO DOS SANTOS,R., 43",-23722163,-46698436,
383,UNIDADE MOVEL -HORA CERTA ANHANGABAU,VALE DO ANHANGABAU,-23543980,-46636390,CENTRO
384,UNIDADE MOVEL PROJETO CIES - NORTE,"JO´?¢O MARCELINO BRANCO, AV.96",-23475571,-46663967,CACHOEIRINHA
385,ARNALDO V DE CARVALHO-INSTITUTO CANCER,"CESARIO MOTA JR,DR,R,112",-23541966,-46648704,V BUARQUE
386,CARMEN PRUDENTE -  HOSPITAL CIDADE TIRADENTES,"METALURGICOS,DOS,AV,1797",-23596478,-46403315,CIDADE TIRADENTES
387,CASA DA CRIANCA BETINHO LAR ESPIRITA P/ EXCEPCIONAIS,"VACANGA,R,300",-23559914,-46531843,VIL CARRAO
388,CASA DE DAVID - HOSP,"FERNAO DIAS,ROD,KM82",-23430527,-46568476,VILA AIROSA
389,CASA DE SAUDE  DE SAO JOAO DE DEUS,"ESTRADA TURISTICA DO JARAGUA,2365",-23474711,-46753829,PIRITUBA
390,CENTRO DE ATENCAO INTEGRADA SAUDE MENTAL- CAISM,"MARAGLIANO,MJ,R,241",-23587691,-46637911,V MARIANA
391,CENTRO OFTALMOLOGICO TADEU CVINTAL S/C LTDA,"RIBEIRO DO AMARAL,R,366",-23595656,-46608991,IPIRANGA
392,CENTRO REFERENCIA DST/AIDS,"SANTA CRUZ,R,81",-23596351,-46635463,V MARIANA
393,DO RIM E HIPERTENSAO (FUND OSWALDO RAMOS - HOSP,"BORGES LAGOA,R,960",-23596141,-46645461,VILA CLEMENTINO
394,DOM PEDRO II -HOSP GERIATRICO,"GUAPIRA,AV,2674",-23465749,-46583321,JACANA
395,FUNDACAO ADIB JATENE-HOSP DANTE PAZZANESE,"DANTE PAZZANESE,DR,AV,500",-23584676,-46651774,V MARIANA
396,HELIOPOLIS-HOSP (UNIDD GESTAO ASSISTENCIAL),"CONEGO XAVIER,R,276",-23607887,-46593037,SACOMA
397,INST BRAS CONTROLE DE CANCER(IBCC)-HOSP/AMB H,"ALCANTARA MACHADO,AV,2576",-23547095,-46599569,MOOCA
398,INST CEMA DE OFTALMOLOGIA E OTORRINOLARINGOLOGIA,"PASCOAL MOREIRA,R,486",-23562673,-46590372,MOOCA
399,INSTITUTO DE ONCOLOGIA PEDIATRICA (GRAACC) -HOSP,"BOTUCATU,R,743",-23597767,-46642156,VILA CLEMENTINO
400,INSTITUTO DO CANCER DO ESTADO DE SAO PAULO,"ARNALDO, DR, AV,251",-23555666,-46667533,CERQUEIRA C+SAR
401,JOAO EVANGELISTA-HOSP,"NOVA CANTAREIRA,AV,3050",-23472177,-46615307,TUCURUVI
402,JOSE STOROPOLLI - HOSP,"FRANCISCO FANGANIELLO,R,127",-23521684,-46561784,PARQUE NOVO MUNDO
403,M' BOI MIRIM - HOSP,"ESTRADA M' BOI MIRIM,5203",-23691629,-46775158,JARDIM ANGELA
404,NIPO BRASILEIRO SAO PAULO-HOSP,"PISTOIA,R,100",-23507376,-46568600,V MARIA
405,PSIQUIATRIA-INSTITUTO (HOSP CLINICAS),"OVIDIO PIRES DE CAMPOS, DR,R,785",-23557219,-46671735,CERQUEIRA CESAR
406,S LUIZ GONZAGA-HOSP UNIV PESQ,"MICHEL OUCHANA,AV,94",-23459600,-46581745,JACANA
407,SANTA MARIA CRUZ AZUL - HOSP,"LINS DE VASCONCELOS,AV,356",-23565622,-46621428,CAMBUCI
408,SANTO ANTONIO - HOSPITAL,"SOCRATES,GAL,R,145",-23527660,-46549700,PENHA
409,SEPACO - HOSP,"CUBATAO,R,196",-23573437,-46644338,VILA MARIANA
410,SISTEMA PENITENCI-RIO SAO PAULO - COMPLEXO HOSPITALAR,"JOSE MAURICIO, DOM,R,15",-23508704,-46618486,CARANDIRU
411,"SUELI ABUJAMRA,DRA - INSTITUTO","TAMANDARE,R,693",-23564466,-46635044,ACLIMACAO
412,AGUA FUNDA (DAVI CAPRISTANO DA COSTA FILHO)-HOSP,"MIGUEL ESTEFANO,AV,3030",-23642785,-46627104,SAUDE
413,AMPARO MATERNAL-HOSP/ AMB HOSP,"LOEFGREEN,R,1901",-23599452,-46643341,V CLEMENTINO
414,ASSOC CRUZ VERDE-HOSP,"DIOGO DE FARIA,DR,R,695",-23595431,-46642865,VILA  CLEMENTINO
415,ASSOC DE ASSIS A CRIANCA DEFEITUOSA - AACD,"ASCENDINO REIS,PROF,AV,724",-23596601,-46650931,VILA  CLEMENTINO
416,CASA DE SAUDE N SRA DE FATIMA-HOSP,"PAULO ZING, JORNALISTA,AV,1078",-23486768,-46760181,PIRITUBA
417,CENTRO DE ATENCAO INTEGRADA SAUDE MENTAL P.PINEL - HOSP,"RAIMUNDO PEREIRA DE MAGALHAES,AV,5214",-23485951,-46723432,PIRITUBA
418,DARCY VARGAS-HOSP INFANTIL / AMB HOSP,"SERAFICO A CARVALHO,R,34",-23592355,-46710763,JD GUEDALA
419,EMILIO RIBAS (INST DE INFECTOLOGIA)-HOSP/AMB H,"ARNALDO,DR,AV,165",-23555885,-46666458,CERQUEIRA CESAR
420,"MARIO DE MORAES ALTENFELDER SILVA,DR,ESC-HOSP MAT","EMILIO CARLOS,DEP,AV,3100",-23479782,-44671580,V N CACHOEIRINHA
421,MENINO JESUS-HOSP INFANTIL,"INGLESES,DOS,R,258",-23559807,-46646921,BELA VISTA
422,A C CAMARGO - HOSP DO CANCER,"ANTONIO PRUDENTE,PROF,R,211",-23564671,-46637252,LIBERDADE
423,AEPS DO SAPOPEMBA-HOSP GERAL,"MANUEL FRANCA DOS SANTOS.AV,174",-23610550,-46492584,SAO MATEUS
424,ALBERT EINSTEIN - HOSP,"ALBERT EISTEIN,AV,627/701",-23599130,-46714676,MORUMBI
425,"ALEXANDRE ZAIO,DR-HOSP","ALVES MALDONADO,R,128",-23542114,-46500964,V  NHOCUNE
426,"ALIPIO CORREA NETO,DR-HOSP","RODRIGO DE BRUN,AL,1989",-23499140,-46472507,ERM MATARAZZO
427,"ALVARO DE SOUZA,DR(CACHOIRINHA)-HOSP","EMILIO CARLOS,DEP,AV,3000",-23481183,-46672076,CJ HAB V N CACHOEIRINHA
428,ANTONIO DE ALVARENGA-HOSP/ MAT,"NAZARE,AV,1361",-23596162,-46608731,IPIRANGA
429,"ARTHUR RIBEIRO DE SABOYA,DR-HOSP JABAQUARA","FRANCISCO DE PAULA Q RIBEIRO,AV,860",-23652993,-46645012,JABAQUARA
430,BANDEIRANTES - HOSP,"GALVAO BUENO,R,257",-23557328,-46634413,LIBERDADE
431,"BENEDICTO MONTE NEGRO,DR-HOSP","ANTONIO LAZARO,R,226",-23587148,-46513957,JD. IVA
432,BENEFICENCIA PORTUGUESA-HOSP,"MAESTRO CARDIM,R,769",-23566943,-46641253,BELA VISTA
433,CANDIDO FONTOURA-HOSP INFANTIL/ PS ESPEC,"SIQUEIRA BUENO,R,1757",-23551205,-46584790,BELENZINHO
434,"CARMINO CARICCHIO,DR-HOSP TATUAPE","CELSO GARCIA,AV,4815",-23532816,-46565873,TATUAPE
435,CASA DE SAUDE N SRA CAMINHO-HOSP,"ESTRADA DA RIVIERA,4742",-23705018,-46742226,RIVIERA PAULISTA
436,CENTRO DE REFERENCIA DA SAUDE DA MULHER- HOSP PEROLA B.,"LUIS ANTONIO,BRIG,AV,683",-23555731,-46639159,JARDIM PAULISTA
437,CLINICAS DAS(FAC DE MED USP) - HOSP,"ENEAS DE CARVALHO AGUIAR,255",-23556094,-46669891,CERQUEIRA CESAR
438,"CORACAO,INSTITUTO,DO- HOSP INCOR","ENEAS CARVALHO DE AGUIAR,DR,AV,44",-23556454,-46667722,CERQ CESAR
439,EURYCLIDES DE JESUS ZERBINI - HOSP DE TRANSPLANTE,"LUIS ANTONIO,BRIG,AV,2651",-23569926,-46650807,JARDIM PAULISTA
440,FERNANDO MAURO P DA ROCHA-HOSP CAMPO LIMPO,"TEREZA M. OLIVEIRA, R,17/ ITAPECERICA, ESTR,1661",-23648271,-46748602,V  MARACANA
441,GERAL DE GRAJAU - HOSP,"FRANCISCO OCTAVIO PACCA,R,180",-23728599,-46690386,PQ DAS NACOES
442,GERAL DE GUAIANAZES-HOSP JESUS T COSTA,"OTELO AUGUSTO REIBEIRO, R,899",-23551375,-46405324,JD S+O PAULO
443,GERAL DE PEDREIRA-HOSP,"JOAO FRANCISCO DE MOURA,R,251",-23680112,-46676394,V CAMPO GRANDE
444,GERAL DE S MATHEUS DR MANOEL BIFULCO-HOSP,"ANGELO DE CANDIA,R,540",-23593967,-46486654,SAO MATEUS
445,GERAL DE TAIPAS-HOSP KATIA DE SOUZA RODRIGUES,"ELISIO TEIXEIRA LEITE,AV,7000",-23443414,-46717305,PARADA TAIPAS
446,GERAL ITAIM PAULISTA-HOSP,"MARECHAL TITO,AV,6035",-23491742,-46388373,ITAIM PAULISTA
447,"IGNACIO PROENCA DE GOUVEA,DR-HOSP","JUVENTUS,R,562",-23571287,-46589869,MOOCA
448,INTERLAGOS-HOSP/ MATERN,"LEONOR ALVIM,R,211",-23706414,-46701543,CID DUTRA
449,IPIRANGA-HOSP,"NAZARE,AV,28",-23583827,-46611091,IPIRANGA
450,"JOSE SOARES HUNGRIA,DR-HOSP PIRITUBA","MENOTTI LAUDIZIO,AV,100",-23484117,-46727089,PIRITUBA
451,LEONOR MENDES DE BARROS-MATER/ AMB HOSP,"CELSO GARCIA,AV,2477",-23535582,-46588152,BRAS
452,MANDAQUI-HOSP,"VOLUNTARIOS DA PATRIA,R,4301",-23483763,-46630600,SANTANA
453,"MARIO DEGNI,PROF(JD SARAH)-HOSP E MATER","LUCAS DE LEYDE,AV,257",-23577587,-46764642,V  ANTONIO
454,MONUMENTO-HOSP,"LIMA E SILVA,R,985",-23593848,-46596580,IPIRANGA
